"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667696","2.1.16.4","28.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667696","2.1.16.4","17.4","E","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667696","2.1.16.4","27.8","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667696","2.1.16.4","19.6","E","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667696","2.1.16.4","20.2","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667868","2.2.15.1","22300","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667868","2.2.15.1","17100","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667868","2.2.15.1","23800","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667868","2.2.15.1","23400","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111667868","2.2.15.1","16700","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667871","2.2.15.4","24.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667871","2.2.15.4","19.4","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667871","2.2.15.4","24.3","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667871","2.2.15.4","24.1","E","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111667871","2.2.15.4","20.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667875","2.2.16.1","18400","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667875","2.2.16.1","13400","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667875","2.2.16.1","18200","E","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667875","2.2.16.1","19100","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111667875","2.2.16.1","12800","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667878","2.2.16.4","20.2","E","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667878","2.2.16.4","15.2","E","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667878","2.2.16.4","18.5","E","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667878","2.2.16.4","19.7","E","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111667878","2.2.16.4","15.5","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111668050","2.3.15.1","21100","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111668050","2.3.15.1","14600","E","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111668050","2.3.15.1","19200","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111668050","2.3.15.1","13000","E","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111668050","2.3.15.1","12600","E","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111668053","2.3.15.4","26.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111668053","2.3.15.4","19.9","E","","","1"
"2017","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111668053","2.3.15.4","22.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111668053","2.3.15.4","15.6","E","","","1"
"2019","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111668053","2.3.15.4","16.2","E","","","1"
"2015","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111668057","2.3.16.1","18400","E","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111668057","2.3.16.1","13100","E","","","0"
